time,value
00:00:01,72
00:00:04,72
00:00:07,72
00:00:10,72
00:00:11,71
00:00:13,70
00:00:16,70
00:00:19,71
00:00:22,71
00:00:24,70
00:00:27,70
00:00:30,70
00:00:33,70
00:00:34,70
00:00:36,71
00:00:38,72
00:00:40,72
00:00:43,72
00:00:46,72
00:00:49,71
00:00:52,71
00:00:53,70
00:00:56,70
00:00:59,70
00:01:02,70
00:01:03,69
00:01:05,68
00:01:08,68
00:01:11,68
00:01:14,68
00:01:17,68
00:01:18,68
00:01:21,68
00:01:22,69
00:01:25,69
00:01:26,70
00:01:29,70
00:01:32,70
00:01:33,69
00:01:35,70
00:01:38,70
00:01:39,69
00:01:42,69
00:01:43,68
00:01:46,68
00:01:49,68
00:01:51,67
00:01:53,66
00:01:56,66
00:01:59,66
00:02:02,66
00:02:05,66
00:02:08,66
00:02:11,66
00:02:14,66
00:02:17,66
00:02:18,67
00:02:21,68
00:02:23,68
00:02:25,67
00:02:28,67
00:02:29,66
00:02:31,67
00:02:33,68
00:02:36,68
00:02:39,67
00:02:41,65
00:02:44,65
00:02:46,66
00:02:49,66
00:02:52,66
00:02:55,66
00:02:56,67
00:02:58,69
00:03:00,71
00:03:02,72
00:03:04,69
00:03:06,67
00:03:08,66
00:03:11,66
00:03:14,66
00:03:17,67
00:03:19,68
00:03:22,68
00:03:25,67
00:03:27,66
00:03:30,66
00:03:33,65
00:03:34,64
00:03:37,64
00:03:40,64
00:03:43,64
00:03:46,64
00:03:49,64
00:03:52,66
00:03:55,66
00:03:56,67
00:03:59,67
00:04:01,66
00:04:04,66
00:04:05,67
00:04:08,67
00:04:11,66
00:04:14,66
00:04:17,66
00:04:19,64
00:04:22,64
00:04:25,64
00:04:28,64
00:04:30,65
00:04:33,65
00:04:34,66
00:04:36,67
00:04:39,67
00:04:40,67
00:04:42,67
00:04:45,68
00:04:47,67
00:04:49,66
00:04:52,66
00:04:55,66
00:04:57,65
00:04:59,64
00:05:02,64
00:05:05,63
00:05:08,63
00:05:09,64
00:05:12,64
00:05:15,64
00:05:18,64
00:05:21,64
00:05:24,64
00:05:27,64
00:05:30,64
00:05:33,64
00:05:36,64
00:05:38,65
00:05:41,65
00:05:44,65
00:05:45,64
00:05:47,65
00:05:50,65
00:05:53,65
00:05:56,65
00:05:59,64
00:06:01,65
00:06:03,66
00:06:06,66
00:06:09,66
00:06:10,65
00:06:12,64
00:06:15,64
00:06:18,64
00:06:21,64
00:06:24,64
00:06:26,65
00:06:27,66
00:06:30,66
00:06:33,66
00:06:36,66
00:06:39,66
00:06:42,66
00:06:45,66
00:06:47,64
00:06:50,64
00:06:51,63
00:06:52,62
00:06:55,62
00:06:58,62
00:07:00,63
00:07:03,63
00:07:06,63
00:07:08,64
00:07:10,63
00:07:12,64
00:07:15,64
00:07:18,64
00:07:21,64
00:07:24,64
00:07:27,64
00:07:29,63
00:07:31,62
00:07:34,62
00:07:37,63
00:07:40,64
00:07:43,64
00:07:46,64
00:07:48,62
00:07:51,62
00:07:54,63
00:07:56,64
00:07:58,63
00:08:00,64
00:08:02,64
00:08:05,64
00:08:08,64
00:08:11,64
00:08:14,64
00:08:15,63
00:08:17,64
00:08:19,63
00:08:21,64
00:08:23,63
00:08:26,63
00:08:28,62
00:08:31,62
00:08:32,62
00:08:34,62
00:08:36,64
00:08:39,64
00:08:42,64
00:08:45,64
00:08:48,63
00:08:51,63
00:08:54,64
00:08:55,63
00:08:58,63
00:08:59,62
00:09:02,62
00:09:05,63
00:09:07,63
00:09:10,63
00:09:13,63
00:09:16,63
00:09:17,62
00:09:18,63
00:09:20,64
00:09:23,64
00:09:26,64
00:09:28,63
00:09:31,63
00:09:32,62
00:09:35,62
00:09:36,62
00:09:39,62
00:09:42,62
00:09:45,62
00:09:47,63
00:09:50,63
00:09:53,63
00:09:55,63
00:09:57,63
00:09:59,64
00:10:02,64
