spo2,minute
96.2,2024-02-04T01:22:33
96.6,2024-02-04T01:23:33
96.8,2024-02-04T01:24:33
97.0,2024-02-04T01:25:33
97.1,2024-02-04T01:26:33
97.2,2024-02-04T01:27:33
97.2,2024-02-04T01:28:33
97.3,2024-02-04T01:29:33
97.3,2024-02-04T01:30:33
97.3,2024-02-04T01:31:33
97.3,2024-02-04T01:32:33
97.3,2024-02-04T01:33:33
89.4,2024-02-04T01:44:33
89.6,2024-02-04T01:45:33
89.7,2024-02-04T01:46:33
90.1,2024-02-04T01:47:33
90.7,2024-02-04T01:48:33
90.2,2024-02-04T01:49:33
90.3,2024-02-04T01:50:33
90.7,2024-02-04T01:51:33
91.6,2024-02-04T01:52:33
91.5,2024-02-04T01:53:33
91.9,2024-02-04T01:54:33
92.3,2024-02-04T01:55:33
93.4,2024-02-04T02:09:33
94.2,2024-02-04T02:10:33
96.2,2024-02-04T02:13:33
97.0,2024-02-04T02:14:33
97.4,2024-02-04T02:15:33
97.7,2024-02-04T02:16:33
98.0,2024-02-04T02:17:33
98.4,2024-02-04T02:21:33
98.5,2024-02-04T02:22:33
98.5,2024-02-04T02:23:33
98.6,2024-02-04T02:24:33
98.7,2024-02-04T02:25:33
98.9,2024-02-04T02:26:33
98.9,2024-02-04T02:27:33
98.9,2024-02-04T02:28:33
99.0,2024-02-04T02:29:33
99.0,2024-02-04T02:30:33
99.0,2024-02-04T02:31:33
99.2,2024-02-04T02:32:33
99.2,2024-02-04T02:33:33
99.1,2024-02-04T02:34:33
98.9,2024-02-04T02:35:33
99.0,2024-02-04T02:36:33
99.0,2024-02-04T02:37:33
99.1,2024-02-04T02:38:33
99.1,2024-02-04T02:39:33
99.1,2024-02-04T02:40:33
99.1,2024-02-04T02:41:33
99.3,2024-02-04T02:42:33
99.1,2024-02-04T02:43:33
98.9,2024-02-04T02:44:33
99.1,2024-02-04T02:45:33
99.2,2024-02-04T02:46:33
99.0,2024-02-04T02:47:33
99.1,2024-02-04T02:48:33
99.1,2024-02-04T02:49:33
99.1,2024-02-04T02:50:33
99.2,2024-02-04T02:51:33
99.0,2024-02-04T02:52:33
99.0,2024-02-04T02:53:33
99.1,2024-02-04T02:54:33
99.0,2024-02-04T02:55:33
99.2,2024-02-04T02:56:33
99.2,2024-02-04T02:57:33
99.1,2024-02-04T02:58:33
98.9,2024-02-04T02:59:33
98.8,2024-02-04T03:00:33
99.0,2024-02-04T03:01:33
99.0,2024-02-04T03:02:33
99.1,2024-02-04T03:03:33
99.0,2024-02-04T03:04:33
98.9,2024-02-04T03:05:33
98.9,2024-02-04T03:06:33
99.1,2024-02-04T03:07:33
98.6,2024-02-04T03:11:33
97.6,2024-02-04T03:12:33
97.1,2024-02-04T03:13:33
97.3,2024-02-04T03:14:33
97.3,2024-02-04T03:15:33
97.4,2024-02-04T03:16:33
97.5,2024-02-04T03:17:33
97.7,2024-02-04T03:18:33
97.7,2024-02-04T03:19:33
97.2,2024-02-04T03:20:33
97.2,2024-02-04T03:21:33
97.8,2024-02-04T03:22:33
97.9,2024-02-04T03:23:33
97.6,2024-02-04T03:24:33
97.6,2024-02-04T03:25:33
96.2,2024-02-04T03:27:33
95.4,2024-02-04T03:28:33
94.6,2024-02-04T03:29:33
94.5,2024-02-04T03:31:33
95.6,2024-02-04T03:32:33
96.6,2024-02-04T03:33:33
93.4,2024-02-04T03:37:33
91.4,2024-02-04T03:39:33
93.8,2024-02-04T03:40:33
95.3,2024-02-04T03:41:33
96.4,2024-02-04T03:42:33
96.9,2024-02-04T03:43:33
97.4,2024-02-04T03:44:33
97.8,2024-02-04T03:45:33
98.1,2024-02-04T03:46:33
98.3,2024-02-04T03:47:33
98.4,2024-02-04T03:48:33
98.5,2024-02-04T03:49:33
98.6,2024-02-04T03:50:33
98.7,2024-02-04T03:51:33
98.9,2024-02-04T03:52:33
99.3,2024-02-04T03:54:33
98.1,2024-02-04T03:55:33
96.7,2024-02-04T03:56:33
95.4,2024-02-04T03:59:33
95.0,2024-02-04T04:00:33
94.9,2024-02-04T04:01:33
95.3,2024-02-04T04:02:33
95.5,2024-02-04T04:03:33
95.9,2024-02-04T04:04:33
96.1,2024-02-04T04:05:33
96.2,2024-02-04T04:06:33
96.4,2024-02-04T04:09:33
97.0,2024-02-04T04:10:33
97.6,2024-02-04T04:12:33
97.7,2024-02-04T04:13:33
98.5,2024-02-04T04:14:33
98.6,2024-02-04T04:15:33
99.3,2024-02-04T04:16:33
99.7,2024-02-04T04:17:33
100.0,2024-02-04T04:18:33
100.0,2024-02-04T04:19:33
100.0,2024-02-04T04:20:33
100.0,2024-02-04T04:21:33
100.0,2024-02-04T04:22:33
100.0,2024-02-04T04:23:33
100.0,2024-02-04T04:24:33
99.7,2024-02-04T04:25:33
99.3,2024-02-04T04:26:33
99.8,2024-02-04T04:27:33
99.7,2024-02-04T04:28:33
99.9,2024-02-04T04:29:33
100.0,2024-02-04T04:30:33
100.0,2024-02-04T04:31:33
100.0,2024-02-04T04:32:33
100.0,2024-02-04T04:33:33
100.0,2024-02-04T04:34:33
95.5,2024-02-04T04:45:33
96.0,2024-02-04T04:47:33
97.2,2024-02-04T04:48:33
97.5,2024-02-04T04:50:33
98.0,2024-02-04T04:51:33
98.0,2024-02-04T04:52:33
98.3,2024-02-04T04:53:33
98.6,2024-02-04T04:54:33
98.3,2024-02-04T04:55:33
98.6,2024-02-04T04:56:33
98.8,2024-02-04T04:57:33
98.6,2024-02-04T04:58:33
98.8,2024-02-04T04:59:33
99.0,2024-02-04T05:00:33
98.4,2024-02-04T05:02:33
98.0,2024-02-04T05:03:33
97.5,2024-02-04T05:04:33
97.2,2024-02-04T05:05:33
97.5,2024-02-04T05:06:33
96.8,2024-02-04T05:07:33
96.2,2024-02-04T05:08:33
96.1,2024-02-04T05:09:33
96.5,2024-02-04T05:10:33
96.5,2024-02-04T05:11:33
96.2,2024-02-04T05:12:33
95.4,2024-02-04T05:13:33
94.3,2024-02-04T05:14:33
95.3,2024-02-04T05:15:33
95.9,2024-02-04T05:23:33
96.7,2024-02-04T05:24:33
97.4,2024-02-04T05:25:33
97.8,2024-02-04T05:26:33
98.1,2024-02-04T05:27:33
98.2,2024-02-04T05:28:33
96.8,2024-02-04T05:32:33
93.1,2024-02-04T05:33:33
91.3,2024-02-04T05:34:33
92.6,2024-02-04T05:35:33
94.1,2024-02-04T05:36:33
95.0,2024-02-04T05:38:33
96.5,2024-02-04T05:39:33
97.2,2024-02-04T05:40:33
97.3,2024-02-04T05:41:33
96.8,2024-02-04T05:43:33
97.0,2024-02-04T05:44:33
